WO_NO,CUSTOMER_NO,CUSTOMER_SITE_NO,WORK_STARTED_DATETIME,WORK_FINISHED_DATETIME,PRIORITY_ID,CONTRACT,PM_NO,ALERT_EVENT_ID,EVENT_TIME,Priority,EVENT_DESCRIPTION,HWID,response_hours
250157,100279959,999154922,2017-07-26 21:29:00,26.7.2017 21:56,1.0,KIPA,,,,,,,
255437,100279959,999154922,2017-08-03 08:51:00,3.8.2017 8:51,4.0,KIPA,,,,,,,
262935,100279959,999154922,2017-08-04 10:41:00,4.8.2017 10:41,,KIPA,,,,,,,
264259,100279959,999154922,2017-08-06 00:46:00,6.8.2017 2:40,1.0,KIPA,,,,,,,
265052,100279959,999154922,2017-08-07 09:08:00,7.8.2017 16:08,4.0,KIPA,,,,,,,
269154,100279959,999154922,2017-08-09 09:59:00,9.8.2017 9:59,4.0,KIPA,,,,,,,
233801,100279959,999154922,2017-08-09 14:24:00,9.8.2017 14:24,4.0,KIPA,,,,,,,
259097,100279959,999154922,2017-08-09 14:26:00,9.8.2017 14:27,2.0,KIPA,,,,,,,
242399,100279959,999154922,2017-08-10 08:07:00,10.8.2017 8:07,,KIPA,,,,,,,
234580,100279959,999154922,2017-08-10 08:18:00,10.8.2017 8:43,4.0,KIPA,,,,,,,
239587,100279959,999154922,2017-08-10 08:41:00,10.8.2017 8:42,4.0,KIPA,,,,,,,
272531,100279959,999154922,2017-08-11 07:51:00,11.8.2017 7:51,,KIPA,,,,,,,
272670,100279959,999154922,2017-08-11 08:39:00,11.8.2017 15:01,4.0,KIPA,,,,,,,
272677,100279959,999154922,2017-08-11 08:41:00,11.8.2017 8:41,,KIPA,,,,,,,
274077,100279959,999154922,2017-08-12 01:17:00,12.8.2017 1:47,1.0,KIPA,,,,,,,
274405,100279959,999154922,2017-08-13 10:11:00,13.8.2017 11:07,1.0,KIPA,,,,,,,
275781,100279959,999154922,2017-08-14 11:41:00,14.8.2017 12:23,4.0,KIPA,,,,,,,
252409,100279959,999154922,2017-08-15 07:01:00,15.8.2017 7:01,4.0,KIPA,,,,,,,
265651,100279959,999154922,2017-08-15 07:02:00,15.8.2017 7:02,4.0,KIPA,,,,,,,
271550,100279959,999154922,2017-08-15 07:03:00,15.8.2017 7:03,4.0,KIPA,,,,,,,
270052,100279959,999154922,2017-08-15 07:04:00,15.8.2017 7:04,4.0,KIPA,,,,,,,
252420,100279959,999154922,2017-08-15 07:05:00,15.8.2017 8:12,4.0,KIPA,,,,,,,
273098,100279959,999154922,2017-08-15 07:52:00,15.8.2017 7:52,4.0,KIPA,,,,,,,
279181,100279959,999154922,2017-08-16 08:17:00,16.8.2017 8:17,4.0,KIPA,,,,,,,
271845,100279959,999154922,2017-08-17 14:59:00,17.8.2017 14:59,4.0,KIPA,,,,,,,
283180,100279959,999154922,2017-08-18 08:59:00,21.8.2017 7:04,4.0,KIPA,,,,,,,
284409,100279959,999154922,2017-08-18 20:35:00,18.8.2017 21:45,1.0,KIPA,,,,,,,
285390,100279959,999154922,2017-08-21 08:12:00,21.8.2017 10:50,4.0,KIPA,,,,,,,
286596,100279959,999154922,2017-08-21 13:38:00,21.8.2017 14:58,4.0,KIPA,,,,,,,
286637,100279959,999154922,2017-08-22 08:43:00,22.8.2017 8:57,2.0,KIPA,,,,,,,
287740,100279959,999154922,2017-08-22 09:00:00,22.8.2017 11:33,4.0,KIPA,,,,,,,
282309,100279959,999154922,2017-08-22 09:41:00,22.8.2017 9:41,4.0,KIPA,,,,,,,
289297,100279959,999154922,2017-08-23 07:07:00,28.8.2017 9:23,4.0,KIPA,,,,,,,
290960,100279959,999154922,2017-08-23 18:26:00,23.8.2017 18:26,1.0,KIPA,,,,,,,
292601,100279959,999154922,2017-08-24 13:38:00,24.8.2017 14:09,4.0,KIPA,,,,,,,
295775,100279959,999154922,2017-08-28 07:04:00,28.8.2017 8:29,4.0,KIPA,,,,,,,
292645,100279959,999154922,2017-08-28 11:13:00,28.8.2017 11:13,4.0,KIPA,,,,,,,
284116,100279959,999154922,2017-08-28 13:11:00,28.8.2017 13:13,4.0,KIPA,,,,,,,
297390,100279959,999154922,2017-08-29 07:13:00,29.8.2017 7:13,4.0,KIPA,,,,,,,
298676,100279959,999154922,2017-08-29 12:11:00,29.8.2017 12:12,3.0,KIPA,,,,,,,
303731,100279959,999154922,2017-08-31 14:29:00,31.8.2017 14:54,4.0,KIPA,,,,,,,
304029,100279959,999154922,2017-08-31 17:18:00,31.8.2017 17:18,,KIPA,,,,,,,
304033,100279959,999154922,2017-08-31 17:22:00,31.8.2017 17:22,,KIPA,,,,,,,
304341,100279959,999154922,2017-09-01 07:06:00,1.9.2017 14:55,4.0,KIPA,,,,,,,
305743,100279959,999154922,2017-09-02 06:29:00,2.9.2017 20:40,1.0,KIPA,,,,,,,
306866,100279959,999154922,2017-09-04 07:42:00,4.9.2017 14:27,4.0,KIPA,,,,,,,
308479,100279959,999154922,2017-09-04 14:35:00,4.9.2017 15:08,4.0,KIPA,,,,,,,
310258,100279959,999154922,2017-09-05 14:40:00,5.9.2017 14:40,4.0,KIPA,,,,,,,
308749,100279959,999154922,2017-09-07 13:06:00,7.9.2017 13:06,4.0,KIPA,,,,,,,
316531,100279959,999154922,2017-09-08 17:22:00,8.9.2017 17:22,4.0,KIPA,,,,,,,
317814,100279959,999154922,2017-09-11 07:11:00,11.9.2017 12:23,4.0,KIPA,,,,,,,
318271,100279959,999154922,2017-09-11 09:30:00,11.9.2017 9:30,4.0,KIPA,,,,,,,
319975,100279959,999154922,2017-09-12 07:24:00,12.9.2017 11:46,4.0,KIPA,,,,,,,
320274,100279959,999154922,2017-09-12 08:47:00,12.9.2017 8:47,4.0,KIPA,,,,,,,
320328,100279959,999154922,2017-09-13 08:14:00,13.9.2017 8:14,3.0,KIPA,,,,,,,
322298,100279959,999154922,2017-09-13 08:24:00,13.9.2017 10:42,4.0,KIPA,,,,,,,
322340,100279959,999154922,2017-09-13 08:40:00,13.9.2017 8:40,4.0,KIPA,,,,,,,
324404,100279959,999154922,2017-09-14 08:40:00,14.9.2017 9:25,4.0,KIPA,,,,,,,
324749,100279959,999154922,2017-09-14 10:14:00,14.9.2017 14:57,4.0,KIPA,,,,,,,
326310,100279959,999154922,2017-09-15 08:09:00,15.9.2017 12:08,4.0,KIPA,,,,,,,
326377,100279959,999154922,2017-09-15 08:27:00,15.9.2017 14:56,4.0,KIPA,,,,,,,
326409,100279959,999154922,2017-09-15 08:33:00,15.9.2017 8:33,4.0,KIPA,,,,,,,
329080,100279959,999154922,2017-09-18 09:02:00,18.9.2017 9:02,4.0,KIPA,,,,,,,
328557,100279959,999154922,2017-09-18 09:23:00,18.9.2017 9:23,4.0,KIPA,,,,,,,
331478,100279959,999154922,2017-09-19 09:42:00,19.9.2017 10:44,4.0,KIPA,,,,,,,
333472,100279959,999154922,2017-09-20 08:50:00,20.9.2017 9:17,4.0,KIPA,,,,,,,
333138,100279959,999154922,2017-09-20 09:39:00,20.9.2017 9:39,4.0,KIPA,,,,,,,
335206,100279959,999154922,2017-09-21 09:11:00,21.9.2017 9:11,4.0,KIPA,,,,,,,
336517,100279959,999154922,2017-09-21 13:11:00,25.9.2017 10:11,4.0,KIPA,,,,,,,
336716,100279959,999154922,2017-09-22 08:44:00,22.9.2017 13:04,4.0,KIPA,,,,,,,
339755,100279959,999154922,2017-09-25 07:08:00,25.9.2017 13:16,4.0,KIPA,,,,,,,
342929,100279959,999154922,2017-09-26 12:09:00,26.9.2017 15:04,4.0,KIPA,,,,,,,
343477,100279959,999154922,2017-09-27 08:09:00,27.9.2017 8:10,4.0,KIPA,,,,,,,
344789,100279959,999154922,2017-09-27 13:50:00,27.9.2017 13:50,4.0,KIPA,,,,,,,
343409,100279959,999154922,2017-10-02 10:05:00,2.10.2017 10:05,4.0,KIPA,,,,,,,
351967,100279959,999154922,2017-10-02 12:13:00,2.10.2017 14:50,4.0,KIPA,,,,,,,
348839,100279959,999154922,2017-10-02 12:14:00,2.10.2017 12:14,,KIPA,,,,,,,
352006,100279959,999154922,2017-10-02 12:51:00,2.10.2017 14:10,3.0,KIPA,,,,,,,
353647,100279959,999154922,2017-10-03 07:32:00,3.10.2017 9:27,4.0,KIPA,,,,,,,
355019,100279959,999154922,2017-10-03 15:03:00,3.10.2017 15:06,4.0,KIPA,,,,,,,
359029,100279959,999154922,2017-10-05 10:01:00,5.10.2017 10:01,4.0,KIPA,,,,,,,
356344,100279959,999154922,2017-10-06 11:45:00,6.10.2017 11:45,4.0,KIPA,,,,,,,
356670,100279959,999154922,2017-10-06 12:21:00,6.10.2017 12:21,4.0,KIPA,,,,,,,
356807,100279959,999154922,2017-10-06 12:53:00,6.10.2017 13:56,4.0,KIPA,,,,,,,
362193,100279959,999154922,2017-10-06 13:55:00,6.10.2017 14:55,4.0,KIPA,,,,,,,
361384,100279959,999154922,2017-10-06 14:01:00,6.10.2017 14:13,4.0,KIPA,,,,,,,
363159,100279959,999154922,2017-10-09 07:05:00,9.10.2017 12:33,4.0,KIPA,,,,,,,
366837,100279959,999154922,2017-10-10 13:38:00,10.10.2017 13:38,4.0,KIPA,,,,,,,
367884,100279959,999154922,2017-10-11 07:18:00,11.10.2017 8:48,4.0,KIPA,,,,,,,
365018,100279959,999154922,2017-10-11 11:28:00,11.10.2017 11:28,4.0,KIPA,,,,,,,
370062,100279959,999154922,2017-10-12 07:41:00,12.10.2017 8:31,4.0,KIPA,,,,,,,
370314,100279959,999154922,2017-10-12 08:33:00,12.10.2017 9:31,4.0,KIPA,,,,,,,
370537,100279959,999154922,2017-10-12 09:27:00,12.10.2017 9:27,4.0,KIPA,,,,,,,
365024,100279959,999154922,2017-10-12 09:32:00,12.10.2017 9:32,4.0,KIPA,,,,,,,
365125,100279959,999154922,2017-10-12 10:31:00,12.10.2017 10:31,4.0,KIPA,,,,,,,
372214,100279959,999154922,2017-10-13 07:18:00,13.10.2017 8:33,4.0,KIPA,,,,,,,
372478,100279959,999154922,2017-10-13 08:32:00,13.10.2017 9:06,4.0,KIPA,,,,,,,
371497,100279959,999154922,2017-10-13 09:17:00,13.10.2017 9:17,4.0,KIPA,,,,,,,
374850,100279959,999154922,2017-10-16 07:58:00,16.10.2017 9:21,4.0,KIPA,,,,,,,
375214,100279959,999154922,2017-10-16 09:19:00,16.10.2017 9:19,4.0,KIPA,,,,,,,
375797,100279959,999154922,2017-10-16 11:45:00,16.10.2017 13:16,4.0,KIPA,,,,,,,
376389,100279959,999154922,2017-10-16 14:24:00,16.10.2017 14:24,,KIPA,,,,,,,
376130,100279959,999154922,2017-10-16 14:25:00,16.10.2017 14:26,4.0,KIPA,,,,,,,
377108,100279959,999154922,2017-10-17 07:25:00,17.10.2017 9:10,4.0,KIPA,,,,,,,
377161,100279959,999154922,2017-10-17 07:27:00,17.10.2017 7:27,4.0,KIPA,,,,,,,
377551,100279959,999154922,2017-10-17 09:20:00,17.10.2017 9:20,4.0,KIPA,,,,,,,
1218679,100279959,999154922,2017-10-18 07:34:00,18.10.2017 8:15,3.0,KIPA,231295.0,,,,,,
1218626,100279959,999154922,2017-10-18 07:38:00,18.10.2017 7:38,,KIPA,231304.0,,,,,,
376413,100279959,999154922,2017-10-18 07:38:00,18.10.2017 8:37,4.0,KIPA,,,,,,,
1218625,100279959,999154922,2017-10-18 08:52:00,18.10.2017 8:52,3.0,KIPA,231295.0,,,,,,
379963,100279959,999154922,2017-10-18 10:42:00,18.10.2017 10:42,4.0,KIPA,,,,,,,
380442,100279959,999154922,2017-10-18 12:09:00,18.10.2017 14:51,4.0,KIPA,,,,,,,
378739,100279959,999154922,2017-10-20 07:22:00,20.10.2017 7:22,4.0,KIPA,,,,,,,
378730,100279959,999154922,2017-10-20 08:23:00,20.10.2017 8:48,4.0,KIPA,,,,,,,
378742,100279959,999154922,2017-10-20 08:49:00,20.10.2017 8:51,4.0,KIPA,,,,,,,
382074,100279959,999154922,2017-10-20 08:51:00,20.10.2017 13:42,4.0,KIPA,,,,,,,
1222318,100279959,999154922,2017-10-20 09:09:00,20.10.2017 9:09,,KIPA,231305.0,,,,,,
378735,100279959,999154922,2017-10-20 09:43:00,20.10.2017 11:13,4.0,KIPA,,,,,,,
386280,100279959,999154922,2017-10-23 07:03:00,23.10.2017 10:18,4.0,KIPA,,,,,,,
1225641,100279959,999154922,2017-10-23 07:57:00,23.10.2017 7:57,,KIPA,231304.0,,,,,,
378784,100279959,999154922,2017-10-23 12:25:00,23.10.2017 13:41,4.0,KIPA,,,,,,,
388041,100279959,999154922,2017-10-23 14:17:00,23.10.2017 14:57,4.0,KIPA,,,,,,,
385234,100279959,999154922,2017-10-24 07:22:00,24.10.2017 10:03,4.0,KIPA,,,,,,,
389640,100279959,999154922,2017-10-24 10:09:00,24.10.2017 10:09,4.0,KIPA,,,,,,,
378733,100279959,999154922,2017-10-24 14:08:00,16.11.2017 13:09,4.0,KIPA,,,,,,,
391421,100279959,999154922,2017-10-25 07:08:00,25.10.2017 12:29,4.0,KIPA,,,,,,,
393800,100279959,999154922,2017-10-26 07:00:00,26.10.2017 10:34,4.0,KIPA,,,,,,,
394527,100279959,999154922,2017-10-26 10:35:00,27.10.2017 10:03,4.0,KIPA,,,,,,,
398753,100279959,999154922,2017-10-30 11:58:00,30.10.2017 11:58,4.0,KIPA,,,,,,,
400133,100279959,999154922,2017-10-30 12:00:00,30.10.2017 12:53,4.0,KIPA,,,,,,,
401382,100279959,999154922,2017-10-31 08:32:00,31.10.2017 8:32,2.0,KIPA,,,,,,,
404184,100279959,999154922,2017-11-01 07:05:00,1.11.2017 8:38,4.0,KIPA,,,,,,,
389262,100279959,999154922,2017-11-02 11:21:00,2.11.2017 11:21,4.0,KIPA,,,,,,,
403367,100279959,999154922,2017-11-02 13:52:00,2.11.2017 13:52,4.0,KIPA,,,,,,,
403361,100279959,999154922,2017-11-02 14:28:00,7.11.2017 11:13,4.0,KIPA,,,,,,,
1243836,100279959,999154922,2017-11-03 08:29:00,3.11.2017 9:04,3.0,KIPA,231295.0,,,,,,
1247179,100279959,999154922,2017-11-03 09:05:00,3.11.2017 9:13,3.0,KIPA,231295.0,,,,,,
410403,100279959,999154922,2017-11-03 12:07:00,3.11.2017 12:11,4.0,KIPA,,,,,,,
412039,100279959,999154922,2017-11-06 07:13:00,6.11.2017 11:59,4.0,KIPA,,,,,,,
1250636,100279959,999154922,2017-11-06 13:34:00,6.11.2017 13:53,3.0,KIPA,231295.0,,,,,,
404430,100279959,999154922,2017-11-07 06:51:00,7.11.2017 6:51,4.0,KIPA,,,,,,,
405512,100279959,999154922,2017-11-07 06:52:00,7.11.2017 6:52,4.0,KIPA,,,,,,,
406305,100279959,999154922,2017-11-07 08:44:00,7.11.2017 12:14,4.0,KIPA,,,,,,,
410936,100279959,999154922,2017-11-07 12:38:00,7.11.2017 12:38,4.0,KIPA,,,,,,,
416187,100279959,999154922,2017-11-08 06:59:00,8.11.2017 14:26,4.0,KIPA,,,,,,,
416337,100279959,999154922,2017-11-08 07:01:00,8.11.2017 7:01,4.0,KIPA,,,,,,,
1235761,100279959,999154922,2017-11-08 07:49:00,8.11.2017 7:56,3.0,KIPA,231295.0,,,,,,
1254047,100279959,999154922,2017-11-08 08:24:00,8.11.2017 8:24,3.0,KIPA,231295.0,,,,,,
403374,100279959,999154922,2017-11-08 12:37:00,8.11.2017 12:37,4.0,KIPA,,,,,,,
416193,100279959,999154922,2017-11-08 14:58:00,8.11.2017 14:58,4.0,KIPA,,,,,,,
418949,100279959,999154922,2017-11-09 07:19:00,9.11.2017 14:22,4.0,KIPA,,,,,,,
40003516,100279959,999154922,2017-11-10 00:00:00,10.11.2017 0:00,4.0,KIPA,,,,,,,
1255975,100279959,999154922,2017-11-10 06:15:00,10.11.2017 7:30,3.0,KIPA,231295.0,,,,,,
420380,100279959,999154922,2017-11-10 07:30:00,10.11.2017 7:30,4.0,KIPA,,,,,,,
420329,100279959,999154922,2017-11-10 15:16:00,10.11.2017 15:16,4.0,KIPA,,,,,,,
420397,100279959,999154922,2017-11-10 15:19:00,10.11.2017 15:19,4.0,KIPA,,,,,,,
423049,100279959,999154922,2017-11-10 22:31:00,11.11.2017 0:20,1.0,KIPA,,,,,,,
1222320,100279959,999154922,2017-11-13 07:00:00,20.11.2017 7:47,,KIPA,231648.0,,,,,,
1259609,100279959,999154922,2017-11-13 07:18:00,13.11.2017 8:04,3.0,KIPA,231295.0,,,,,,
1259610,100279959,999154922,2017-11-13 13:56:00,13.11.2017 14:56,,KIPA,231304.0,,,,,,
424252,100279959,999154922,2017-11-14 07:21:00,14.11.2017 9:30,4.0,KIPA,,,,,,,
424300,100279959,999154922,2017-11-14 07:23:00,14.11.2017 7:23,4.0,KIPA,,,,,,,
425239,100279959,999154922,2017-11-14 08:06:00,14.11.2017 8:34,4.0,KIPA,,,,,,,
427705,100279959,999154922,2017-11-14 14:07:00,14.11.2017 14:51,4.0,KIPA,,,,,,,
427754,100279959,999154922,2017-11-14 14:17:00,14.11.2017 14:18,4.0,KIPA,,,,,,,
1263289,100279959,999154922,2017-11-15 06:59:00,15.11.2017 7:26,3.0,KIPA,231295.0,,,,,,
427533,100279959,999154922,2017-11-15 11:26:00,15.11.2017 11:26,4.0,KIPA,,,,,,,
430009,100279959,999154922,2017-11-16 06:56:00,16.11.2017 7:16,4.0,KIPA,,,,,,,
430737,100279959,999154922,2017-11-16 07:15:00,16.11.2017 8:35,4.0,KIPA,,,,,,,
432170,100279959,999154922,2017-11-16 13:09:00,16.11.2017 15:00,4.0,KIPA,,,,,,,
1265577,100279959,999154922,2017-11-17 07:11:00,17.11.2017 7:38,3.0,KIPA,231295.0,,,,,,
433240,100279959,999154922,2017-11-17 07:44:00,17.11.2017 11:01,4.0,KIPA,,,,,,,
434380,100279959,999154922,2017-11-17 12:24:00,17.11.2017 12:24,4.0,KIPA,,,,,,,
1272250,100279959,999154922,2017-11-20 06:59:00,20.11.2017 8:32,,KIPA,231305.0,,,,,,
436925,100279959,999154922,2017-11-20 11:24:00,20.11.2017 14:49,4.0,KIPA,,,,,,,
1272251,100279959,999154922,2017-11-20 11:58:00,20.11.2017 11:58,,KIPA,231648.0,,,,,,
434751,100279959,999154922,2017-11-20 12:52:00,20.11.2017 12:52,4.0,KIPA,,,,,,,
1269832,100279959,999154922,2017-11-20 13:02:00,20.11.2017 13:34,3.0,KIPA,231295.0,,,,,,
438132,100279959,999154922,2017-11-21 04:07:00,21.11.2017 8:05,4.0,KIPA,,,,,,,
438508,100279959,999154922,2017-11-21 08:05:00,21.11.2017 11:41,4.0,KIPA,,,,,,,
439428,100279959,999154922,2017-11-21 11:41:00,21.11.2017 14:54,4.0,KIPA,,,,,,,
440634,100279959,999154922,2017-11-22 06:55:00,22.11.2017 7:57,4.0,KIPA,,,,,,,
439814,100279959,999154922,2017-11-22 11:15:00,22.11.2017 14:45,4.0,KIPA,,,,,,,
1273486,100279959,999154922,2017-11-23 06:38:00,23.11.2017 7:36,3.0,KIPA,231295.0,,,,,,
443175,100279959,999154922,2017-11-23 07:55:00,23.11.2017 10:30,4.0,KIPA,,,,,,,
442499,100279959,999154922,2017-11-23 10:30:00,23.11.2017 10:30,4.0,KIPA,,,,,,,
444762,100279959,999154922,2017-11-23 14:53:00,23.11.2017 18:19,4.0,KIPA,,,,,,,
1275820,100279959,999154922,2017-11-24 06:11:00,24.11.2017 7:09,3.0,KIPA,231295.0,,,,,,
444577,100279959,999154922,2017-11-24 06:56:00,24.11.2017 8:55,4.0,KIPA,,,,,,,
1279353,100279959,999154922,2017-11-27 06:31:00,27.11.2017 6:59,3.0,KIPA,231295.0,,,,,,
446973,100279959,999154922,2017-11-27 07:23:00,27.11.2017 10:46,4.0,KIPA,,,,,,,
448545,100279959,999154922,2017-11-27 09:21:00,27.11.2017 10:38,4.0,KIPA,,,,,,,
446879,100279959,999154922,2017-11-27 11:44:00,1.12.2017 8:51,4.0,KIPA,,,,,,,
449522,100279959,999154922,2017-11-27 13:35:00,27.11.2017 14:51,4.0,KIPA,,,,,,,
450525,100279959,999154922,2017-11-28 07:53:00,28.11.2017 11:50,4.0,KIPA,,,,,,,
1282924,100279959,999154922,2017-11-29 06:13:00,29.11.2017 7:25,3.0,KIPA,231295.0,,,,,,
452227,100279959,999154922,2017-11-29 06:57:00,4.12.2017 12:39,4.0,KIPA,,,,,,,
453245,100279959,999154922,2017-11-29 08:33:00,29.11.2017 8:33,4.0,KIPA,,,,,,,
453293,100279959,999154922,2017-11-29 08:45:00,29.11.2017 9:29,4.0,KIPA,,,,,,,
454936,100279959,999154922,2017-11-30 06:57:00,30.11.2017 10:32,4.0,KIPA,,,,,,,
